Timestamp,Traffic Volume,Vehicle Speed (km/h),Traffic Density (vehicles/km),Congestion Level,Weather Conditions,Accidents,Road Type,GPS Latitude,GPS Longitude
2024-01-01 02:45:00,646,10,50,High,Foggy,0,Urban Road,42.824468,-72.627154
2024-01-01 02:50:00,604,24,54,Moderate,Clear,1,Urban Road,47.211716,-70.599355
2024-01-01 02:55:00,854,85,20,High,Snowy,5,Highway,40.82256,-70.675906
2024-01-01 03:00:00,568,93,30,High,Rainy,5,Urban Road,43.718596,-78.108033
2024-01-01 03:05:00,409,83,110,Moderate,Snowy,5,Residential,49.985396,-73.809895
2024-01-01 03:10:00,394,30,105,Moderate,Foggy,3,Urban Road,45.171897,-70.231098
2024-01-01 03:15:00,988,62,126,High,Clear,4,Urban Road,46.766939,-75.800833
2024-01-01 03:20:00,782,40,61,Moderate,Foggy,5,Urban Road,49.980975,-71.749603
2024-01-01 03:25:00,566,99,49,Moderate,Rainy,0,Highway,43.255016,-76.584847
2024-01-01 03:30:00,656,50,54,High,Foggy,2,Highway,47.118537,-75.713145
2024-01-01 03:35:00,918,85,35,High,Foggy,3,Residential,46.417474,-72.311174
2024-01-01 03:40:00,622,65,82,Moderate,Rainy,4,Residential,44.876226,-74.275628
2024-01-01 03:45:00,513,53,113,High,Clear,1,Urban Road,43.789579,-74.732279
2024-01-01 03:50:00,909,91,102,Low,Foggy,4,Residential,48.151464,-74.221354
2024-01-01 03:55:00,776,69,43,Low,Foggy,5,Urban Road,48.530723,-72.991565
2024-01-01 04:00:00,580,24,49,Moderate,Snowy,3,Residential,40.590641,-76.670153
2024-01-01 04:05:00,996,94,62,High,Clear,3,Residential,41.342988,-72.39756
2024-01-01 04:10:00,828,83,9,Low,Rainy,5,Highway,41.558168,-74.671621
2024-01-01 04:15:00,506,91,81,Low,Rainy,2,Highway,43.743123,-70.959724
2024-01-01 04:20:00,807,73,71,High,Foggy,1,Urban Road,42.485148,-71.004751
2024-01-01 04:25:00,898,47,42,Moderate,Foggy,3,Highway,48.253208,-76.098596
2024-01-01 04:30:00,294,22,98,Low,Rainy,0,Residential,40.391098,-72.413088
2024-01-01 04:35:00,526,9,84,Moderate,Rainy,3,Residential,44.942514,-76.091971
2024-01-01 04:40:00,165,70,127,High,Clear,4,Residential,46.415093,-74.603395
2024-01-01 04:45:00,739,28,63,Moderate,Snowy,5,Urban Road,43.658726,-78.665022
2024-01-01 04:50:00,854,82,70,High,Snowy,5,Urban Road,47.034153,-76.284792
2024-01-01 04:55:00,346,98,49,High,Clear,2,Residential,41.573508,-73.251665
2024-01-01 05:00:00,352,96,41,High,Snowy,5,Highway,47.013272,-75.352646
2024-01-01 05:05:00,326,95,129,Low,Rainy,2,Urban Road,48.902988,-73.530136
2024-01-01 05:10:00,959,68,143,Low,Rainy,4,Highway,42.329425,-78.691078
2024-01-01 05:15:00,775,94,39,Moderate,Foggy,4,Urban Road,45.504385,-79.720239
2024-01-01 05:20:00,830,82,138,High,Foggy,5,Residential,41.021457,-74.642822
2024-01-01 05:25:00,931,16,109,Low,Rainy,3,Urban Road,44.779996,-77.853786
2024-01-01 05:30:00,945,44,82,High,Rainy,1,Urban Road,49.339247,-75.904365
2024-01-01 05:35:00,706,33,130,Moderate,Foggy,3,Highway,43.883815,-77.249059
2024-01-01 05:40:00,462,82,102,High,Snowy,0,Residential,48.163301,-74.726877
2024-01-01 05:45:00,983,66,15,High,Foggy,4,Residential,46.962016,-77.103418
2024-01-01 05:50:00,839,80,43,High,Rainy,1,Urban Road,43.296302,-70.941914
2024-01-01 05:55:00,443,71,25,High,Rainy,1,Highway,42.043527,-76.521201
2024-01-01 06:00:00,640,95,28,High,Snowy,3,Urban Road,41.494403,-78.345437
2024-01-01 06:05:00,501,6,70,Moderate,Snowy,3,Urban Road,41.815996,-71.12292
2024-01-01 06:10:00,624,65,45,High,Foggy,1,Urban Road,45.972307,-78.19837
2024-01-01 06:15:00,184,28,110,High,Rainy,0,Highway,41.137032,-77.854792
2024-01-01 06:20:00,175,92,75,High,Clear,5,Highway,42.711953,-78.340803
2024-01-01 06:25:00,857,99,71,Moderate,Foggy,3,Residential,48.308284,-72.429604
2024-01-01 06:30:00,161,34,21,Low,Foggy,2,Urban Road,48.365541,-70.754557
2024-01-01 06:35:00,639,84,41,Moderate,Snowy,4,Urban Road,44.033103,-72.104503
2024-01-01 06:40:00,604,84,97,High,Foggy,1,Urban Road,46.83506,-72.659123
2024-01-01 06:45:00,252,68,142,High,Snowy,5,Urban Road,41.911218,-72.445523
2024-01-01 06:50:00,375,75,45,Low,Clear,0,Urban Road,44.676246,-76.128127
2024-01-01 06:55:00,967,98,111,Moderate,Clear,1,Urban Road,43.033962,-76.633231
2024-01-01 07:00:00,167,6,61,Low,Clear,4,Highway,45.957551,-75.052914
2024-01-01 07:05:00,610,37,104,High,Clear,3,Highway,40.674826,-73.643
2024-01-01 07:10:00,290,62,13,High,Clear,3,Urban Road,45.942208,-72.934253
2024-01-01 07:15:00,238,19,34,Low,Clear,4,Urban Road,40.17386,-71.191649
2024-01-01 07:20:00,158,74,85,High,Foggy,1,Residential,48.116208,-70.242913
2024-01-01 07:25:00,94,5,146,Low,Clear,3,Residential,44.384867,-70.746008
2024-01-01 07:30:00,172,71,40,Low,Foggy,5,Urban Road,41.582422,-79.900502
2024-01-01 07:35:00,778,73,67,Low,Clear,3,Highway,41.273986,-79.980129
2024-01-01 07:40:00,423,72,98,High,Clear,3,Urban Road,45.241446,-79.459816
2024-01-01 07:45:00,270,19,11,Moderate,Clear,3,Highway,40.085156,-71.204152
2024-01-01 07:50:00,335,7,75,Moderate,Foggy,5,Highway,45.27065,-79.162216
2024-01-01 07:55:00,792,27,66,High,Foggy,4,Urban Road,43.781199,-79.090045
2024-01-01 08:00:00,438,89,75,Low,Foggy,0,Highway,47.851174,-77.538536
2024-01-01 08:05:00,141,98,46,Moderate,Foggy,4,Highway,44.092495,-70.542745
2024-01-01 08:10:00,898,10,68,High,Snowy,5,Residential,45.072765,-76.107645
2024-01-01 08:15:00,354,61,115,Moderate,Clear,4,Residential,44.604887,-78.480434
2024-01-01 08:20:00,52,10,135,Low,Rainy,2,Residential,40.771738,-72.011273
2024-01-01 08:25:00,664,17,25,Low,Clear,1,Residential,46.495525,-78.595906
2024-01-01 08:30:00,661,31,125,High,Rainy,4,Highway,46.538374,-72.390205
2024-01-01 08:35:00,781,64,45,Moderate,Foggy,4,Urban Road,45.214322,-79.937348
2024-01-01 08:40:00,746,40,21,High,Clear,2,Residential,40.21056,-78.896886
2024-01-01 08:45:00,701,52,23,High,Snowy,5,Residential,47.272829,-70.229626
2024-01-01 08:50:00,779,47,106,Moderate,Snowy,3,Urban Road,45.614265,-78.300125
2024-01-01 08:55:00,739,42,49,Low,Rainy,0,Residential,49.436368,-77.421345
2024-01-01 09:00:00,859,36,130,Low,Snowy,5,Highway,47.863084,-70.988484
2024-01-01 09:05:00,58,35,47,Moderate,Rainy,4,Residential,47.608307,-71.937421
2024-01-01 09:10:00,105,12,39,Low,Clear,0,Highway,49.743972,-77.656912
2024-01-01 09:15:00,825,45,115,High,Clear,1,Highway,40.458239,-71.10274
2024-01-01 09:20:00,685,48,27,Moderate,Foggy,2,Residential,45.459196,-76.131168
2024-01-01 09:25:00,709,31,120,High,Foggy,1,Residential,40.198379,-75.294903
2024-01-01 09:30:00,830,64,37,Low,Clear,5,Urban Road,41.717127,-74.568671
2024-01-01 09:35:00,865,82,66,Moderate,Foggy,5,Urban Road,46.055551,-74.914888
2024-01-01 09:40:00,529,14,51,High,Rainy,3,Highway,42.828484,-76.813975
2024-01-01 09:45:00,214,23,146,Moderate,Snowy,5,Residential,40.303795,-70.241803
2024-01-01 09:50:00,935,99,47,Low,Snowy,5,Urban Road,44.258368,-78.917031
2024-01-01 09:55:00,431,60,68,High,Clear,4,Urban Road,45.319764,-74.212329
2024-01-01 10:00:00,949,21,93,Low,Foggy,2,Urban Road,40.10438,-78.05896
2024-01-01 10:05:00,184,30,86,High,Foggy,5,Residential,43.963429,-74.32865
2024-01-01 10:10:00,233,46,44,Moderate,Foggy,4,Residential,46.150821,-73.556348
2024-01-01 10:15:00,940,97,100,Low,Foggy,1,Highway,44.580767,-79.939353
2024-01-01 10:20:00,417,19,17,Low,Clear,4,Residential,42.11217,-77.664601
2024-01-01 10:25:00,908,16,124,Moderate,Rainy,4,Urban Road,42.137459,-75.02861
2024-01-01 10:30:00,637,58,69,Moderate,Clear,5,Residential,46.521318,-74.000613
2024-01-01 10:35:00,588,18,41,Low,Clear,1,Residential,44.270404,-77.49278
2024-01-01 10:40:00,989,62,120,Moderate,Foggy,2,Residential,49.75217,-79.175343
2024-01-01 10:45:00,758,10,64,Low,Clear,4,Highway,41.534733,-71.634616
2024-01-01 10:50:00,660,97,148,Moderate,Rainy,4,Residential,40.569285,-77.782744
2024-01-01 10:55:00,371,46,92,Low,Rainy,4,Highway,47.621879,-79.609378
2024-01-01 11:00:00,438,25,47,Moderate,Rainy,0,Urban Road,40.350711,-76.360633
2024-01-01 11:05:00,955,61,74,Low,Foggy,4,Highway,40.124639,-75.766953
2024-01-01 11:10:00,253,21,133,High,Snowy,3,Highway,47.692239,-79.170072
2024-01-01 11:15:00,131,8,137,High,Rainy,5,Residential,48.953904,-75.411875
2024-01-01 11:20:00,829,58,147,Moderate,Snowy,1,Highway,46.535601,-78.485635
2024-01-01 11:25:00,265,94,5,High,Rainy,3,Residential,40.573257,-77.287101
2024-01-01 11:30:00,388,38,106,High,Rainy,2,Residential,43.985964,-78.526508
2024-01-01 11:35:00,157,92,114,High,Clear,5,Urban Road,48.526159,-77.534627
2024-01-01 11:40:00,681,89,132,Moderate,Rainy,4,Urban Road,45.80028,-76.237081
2024-01-01 11:45:00,653,24,70,High,Clear,0,Residential,42.321064,-71.245752
2024-01-01 11:50:00,384,8,14,Moderate,Rainy,4,Residential,43.016833,-73.771062
2024-01-01 11:55:00,559,82,38,High,Rainy,1,Residential,49.991249,-78.61245
2024-01-01 12:00:00,359,74,68,High,Clear,0,Residential,40.57181,-71.24737
2024-01-01 12:05:00,996,79,121,High,Foggy,4,Residential,47.024747,-70.115227
2024-01-01 12:10:00,543,27,38,High,Rainy,4,Urban Road,47.191935,-70.06014
2024-01-01 12:15:00,443,82,107,High,Rainy,2,Residential,49.822554,-74.207806
2024-01-01 12:20:00,915,26,20,High,Clear,4,Residential,41.288686,-76.806399
2024-01-01 12:25:00,838,30,143,Moderate,Rainy,3,Residential,49.367225,-76.161269
2024-01-01 12:30:00,143,38,42,Low,Foggy,5,Highway,45.91694,-73.624173
2024-01-01 12:35:00,962,21,149,High,Rainy,0,Residential,46.715014,-76.03031
2024-01-01 12:40:00,751,35,144,Low,Rainy,5,Residential,43.346996,-74.914349
2024-01-01 12:45:00,684,60,62,High,Foggy,3,Residential,43.518225,-74.798962
2024-01-01 12:50:00,118,65,9,High,Clear,2,Highway,44.930691,-70.339445
2024-01-01 12:55:00,642,6,105,Moderate,Snowy,0,Residential,47.142335,-78.826389
2024-01-01 13:00:00,199,22,125,Moderate,Foggy,2,Urban Road,49.16695,-75.590271
2024-01-01 13:05:00,711,97,64,High,Clear,2,Urban Road,48.257429,-77.838814
2024-01-01 13:10:00,309,75,148,High,Snowy,2,Residential,40.043321,-72.192088
2024-01-01 13:15:00,212,67,33,Moderate,Snowy,4,Urban Road,45.461878,-72.361108
2024-01-01 13:20:00,594,21,81,High,Clear,3,Urban Road,48.582548,-77.378351
2024-01-01 13:25:00,360,65,90,Low,Snowy,3,Residential,48.402854,-74.750343
2024-01-01 13:30:00,517,61,125,High,Snowy,5,Residential,41.070926,-76.206908
2024-01-01 13:35:00,230,31,103,Low,Rainy,5,Urban Road,41.698327,-76.865705
2024-01-01 13:40:00,374,45,136,Moderate,Snowy,1,Urban Road,41.260162,-75.528671
2024-01-01 13:45:00,89,73,37,Moderate,Rainy,5,Highway,42.724022,-79.30418
2024-01-01 13:50:00,184,43,137,Low,Foggy,5,Highway,42.519208,-73.883098
2024-01-01 13:55:00,828,24,141,High,Clear,4,Urban Road,49.467204,-73.498866
2024-01-01 14:00:00,997,34,114,High,Snowy,0,Highway,45.176903,-76.928238
2024-01-01 14:05:00,259,21,123,Moderate,Clear,3,Highway,47.059062,-71.696998
2024-01-01 14:10:00,228,61,107,High,Rainy,3,Highway,42.84951,-71.101147
2024-01-01 14:15:00,716,10,150,Low,Clear,3,Residential,43.814291,-79.897317
2024-01-01 14:20:00,880,95,129,Moderate,Clear,1,Residential,49.525737,-74.564017
2024-01-01 14:25:00,894,85,49,Low,Snowy,4,Highway,49.029758,-78.404516
2024-01-01 14:30:00,275,72,91,Low,Snowy,2,Urban Road,41.030664,-77.736358
2024-01-01 14:35:00,338,83,75,Low,Clear,0,Highway,40.784673,-74.832483
2024-01-01 14:40:00,90,59,105,Low,Rainy,0,Residential,40.701084,-70.883714
2024-01-01 14:45:00,699,97,140,High,Rainy,3,Urban Road,48.083201,-70.424014
2024-01-01 14:50:00,834,8,117,Moderate,Clear,1,Residential,49.845272,-72.96479
2024-01-01 14:55:00,220,11,57,High,Foggy,1,Highway,43.152188,-71.671368
2024-01-01 15:00:00,607,37,88,High,Clear,4,Highway,40.118223,-72.462097
2024-01-01 15:05:00,440,97,49,High,Clear,2,Highway,40.330187,-73.44472
2024-01-01 15:10:00,579,8,110,Moderate,Foggy,5,Urban Road,43.291959,-77.957311
2024-01-01 15:15:00,382,59,104,High,Snowy,0,Residential,42.808209,-76.780217
2024-01-01 15:20:00,322,45,99,Moderate,Foggy,2,Highway,47.766576,-77.900109
2024-01-01 15:25:00,533,17,64,High,Rainy,3,Highway,41.178959,-71.904206
2024-01-01 15:30:00,937,64,48,High,Snowy,0,Highway,41.81277,-70.011215
2024-01-01 15:35:00,904,61,20,High,Clear,1,Highway,49.673564,-76.148189
2024-01-01 15:40:00,586,22,61,High,Snowy,2,Highway,42.910332,-72.18886
2024-01-01 15:45:00,555,85,29,Moderate,Foggy,0,Highway,43.991084,-73.979523
2024-01-01 15:50:00,85,93,68,Low,Clear,2,Highway,40.310063,-74.562829
2024-01-01 15:55:00,215,39,116,Moderate,Rainy,2,Urban Road,43.442919,-76.576062
2024-01-01 16:00:00,207,60,93,Low,Rainy,0,Urban Road,43.207142,-73.711184
2024-01-01 16:05:00,508,13,52,High,Foggy,3,Urban Road,41.332272,-74.773882
2024-01-01 16:10:00,852,32,69,Low,Clear,4,Highway,46.805595,-75.42123
2024-01-01 16:15:00,988,26,98,Moderate,Snowy,2,Highway,46.993314,-74.661571
2024-01-01 16:20:00,343,52,34,Moderate,Clear,2,Urban Road,48.297217,-78.328028
2024-01-01 16:25:00,517,69,19,Low,Clear,0,Highway,45.115664,-74.484862
2024-01-01 16:30:00,724,97,50,Moderate,Snowy,5,Residential,42.062808,-73.295759
2024-01-01 16:35:00,525,96,44,High,Rainy,2,Residential,45.697824,-73.915258
2024-01-01 16:40:00,440,11,143,High,Snowy,0,Residential,49.067463,-79.189764
2024-01-01 16:45:00,173,99,45,Moderate,Snowy,0,Residential,47.09418,-74.362958
2024-01-01 16:50:00,101,51,10,High,Clear,3,Urban Road,43.402898,-71.967888
2024-01-01 16:55:00,427,57,27,Moderate,Snowy,0,Residential,49.566416,-72.55693
2024-01-01 17:00:00,211,66,150,High,Snowy,2,Urban Road,47.9237,-79.756919
2024-01-01 17:05:00,494,55,61,High,Rainy,1,Urban Road,41.263805,-73.207257
2024-01-01 17:10:00,309,12,121,Moderate,Rainy,4,Highway,48.182038,-70.690411
2024-01-01 17:15:00,144,95,61,Moderate,Foggy,2,Residential,44.743299,-70.191023
2024-01-01 17:20:00,708,33,90,High,Snowy,4,Residential,47.062662,-79.961858
2024-01-01 17:25:00,469,36,64,Moderate,Foggy,3,Urban Road,41.540524,-76.791682
2024-01-01 17:30:00,686,26,135,High,Snowy,2,Highway,41.083207,-75.735704
2024-01-01 17:35:00,635,90,98,High,Rainy,0,Highway,43.517727,-71.493088
2024-01-01 17:40:00,464,38,121,Low,Snowy,4,Residential,40.540558,-72.484916
2024-01-01 17:45:00,210,22,130,Moderate,Rainy,5,Highway,41.370926,-73.285027
2024-01-01 17:50:00,866,29,70,High,Snowy,3,Highway,46.859996,-78.854653
2024-01-01 17:55:00,495,62,17,Moderate,Foggy,1,Urban Road,43.997553,-73.563883
2024-01-01 18:00:00,296,91,49,Low,Rainy,0,Urban Road,49.996899,-72.331576
2024-01-01 18:05:00,485,14,62,Low,Foggy,3,Urban Road,42.529396,-76.062596
2024-01-01 18:10:00,672,80,51,Moderate,Clear,0,Urban Road,44.939826,-76.517497
2024-01-01 18:15:00,465,94,39,High,Clear,1,Urban Road,46.055292,-76.130272
2024-01-01 18:20:00,227,51,127,High,Snowy,2,Highway,42.047153,-72.271002
2024-01-01 18:25:00,470,25,78,Moderate,Snowy,2,Urban Road,48.199269,-75.535293
2024-01-01 18:30:00,161,91,110,Low,Clear,2,Residential,45.527603,-71.243231
2024-01-01 18:35:00,52,60,74,High,Snowy,1,Highway,45.35766,-79.938889
2024-01-01 18:40:00,750,100,78,High,Rainy,2,Residential,47.074868,-70.453508
2024-01-01 18:45:00,82,75,44,High,Snowy,4,Residential,46.439092,-75.460635
2024-01-01 18:50:00,628,52,10,Moderate,Foggy,4,Residential,45.347069,-72.577981
2024-01-01 18:55:00,95,38,120,High,Foggy,3,Residential,45.144447,-74.449113
2024-01-01 19:00:00,371,12,49,High,Clear,3,Urban Road,42.643602,-70.592916
2024-01-01 19:05:00,830,42,114,High,Foggy,2,Residential,44.143493,-72.404327
2024-01-01 19:10:00,562,37,16,Low,Rainy,3,Highway,41.53764,-75.415709
2024-01-01 19:15:00,889,25,17,Moderate,Foggy,3,Urban Road,41.62962,-72.451775
2024-01-01 19:20:00,261,73,32,Moderate,Snowy,3,Urban Road,44.968022,-78.615986
2024-01-01 19:25:00,578,32,132,High,Clear,1,Urban Road,46.573894,-79.808394
2024-01-01 19:30:00,999,5,9,Low,Foggy,2,Residential,45.109314,-74.990559
2024-01-01 19:35:00,461,48,37,High,Clear,0,Highway,41.073377,-79.888403
2024-01-01 19:40:00,363,17,66,Moderate,Snowy,1,Highway,46.422604,-72.793833
2024-01-01 19:45:00,648,43,37,Low,Snowy,0,Highway,43.786084,-72.109287
2024-01-01 19:50:00,109,22,90,Moderate,Clear,0,Urban Road,45.586389,-79.114509
2024-01-01 19:55:00,890,99,57,High,Snowy,5,Urban Road,40.633864,-77.736161
2024-01-01 20:00:00,498,22,101,Low,Rainy,0,Residential,48.692849,-74.607697
2024-01-01 20:05:00,935,97,83,Moderate,Rainy,0,Residential,47.015504,-71.124601
2024-01-01 20:10:00,119,68,50,Moderate,Snowy,5,Residential,41.281741,-70.3944
2024-01-01 20:15:00,916,46,120,Low,Snowy,2,Urban Road,45.189356,-79.170763
2024-01-01 20:20:00,295,17,65,High,Snowy,1,Residential,47.542636,-72.339332
2024-01-01 20:25:00,566,93,108,Moderate,Rainy,3,Urban Road,41.117096,-78.717114
2024-01-01 20:30:00,696,16,124,Low,Clear,0,Residential,41.437856,-73.573731
2024-01-01 20:35:00,270,21,95,Low,Snowy,1,Highway,42.72888,-70.979019
2024-01-01 20:40:00,628,55,89,High,Foggy,2,Residential,45.94829,-79.67532
2024-01-01 20:45:00,650,68,105,Moderate,Clear,1,Urban Road,40.783217,-72.916529
2024-01-01 20:50:00,884,50,104,Moderate,Foggy,4,Urban Road,40.756286,-72.915449
2024-01-01 20:55:00,822,83,134,High,Foggy,3,Residential,46.948567,-70.64236
2024-01-01 21:00:00,172,25,81,High,Rainy,5,Residential,44.556255,-74.544418
2024-01-01 21:05:00,329,20,47,Moderate,Snowy,1,Urban Road,44.918234,-70.989545
2024-01-01 21:10:00,503,27,43,High,Rainy,4,Urban Road,44.442987,-78.354478
2024-01-01 21:15:00,731,27,27,High,Rainy,3,Urban Road,43.919642,-74.004249
2024-01-01 21:20:00,595,63,117,Moderate,Snowy,2,Residential,46.216247,-79.394323
2024-01-01 21:25:00,312,59,115,Low,Foggy,2,Highway,45.979345,-71.114986
2024-01-01 21:30:00,754,66,130,Low,Clear,1,Highway,49.680738,-78.800219
2024-01-01 21:35:00,111,88,52,Low,Snowy,1,Highway,45.969038,-78.714603
2024-01-01 21:40:00,303,49,64,Low,Snowy,1,Residential,42.204151,-77.325498
2024-01-01 21:45:00,426,22,73,High,Foggy,2,Urban Road,43.346888,-73.381981
2024-01-01 21:50:00,124,84,119,High,Rainy,4,Residential,47.392183,-79.020237
2024-01-01 21:55:00,206,28,66,High,Clear,1,Highway,49.270394,-70.513833
2024-01-01 22:00:00,186,9,17,Low,Snowy,0,Residential,46.560092,-71.633125
2024-01-01 22:05:00,297,41,21,High,Rainy,1,Residential,46.791256,-73.894816
2024-01-01 22:10:00,591,70,142,High,Clear,3,Residential,46.941078,-70.517158
2024-01-01 22:15:00,376,31,128,Moderate,Foggy,5,Highway,49.222697,-72.207826
2024-01-01 22:20:00,781,12,77,High,Foggy,4,Residential,49.649087,-72.50975
2024-01-01 22:25:00,729,16,43,Low,Rainy,3,Highway,47.521237,-77.341652
2024-01-01 22:30:00,736,26,52,Moderate,Rainy,5,Highway,49.503739,-73.048033
2024-01-01 22:35:00,153,90,7,Low,Snowy,3,Residential,41.94066,-73.95717
2024-01-01 22:40:00,454,55,149,High,Clear,4,Residential,40.762103,-77.553865
2024-01-01 22:45:00,789,17,56,Moderate,Foggy,5,Residential,45.557681,-78.473419
2024-01-01 22:50:00,53,31,85,High,Snowy,4,Residential,48.98779,-79.263913
2024-01-01 22:55:00,296,77,109,High,Foggy,4,Urban Road,40.91199,-76.307404
2024-01-01 23:00:00,836,31,114,Moderate,Snowy,1,Urban Road,49.858954,-76.049318
2024-01-01 23:05:00,438,88,98,Moderate,Foggy,1,Residential,44.745323,-74.049677
2024-01-01 23:10:00,231,99,76,Moderate,Clear,2,Highway,46.304659,-78.852426
2024-01-01 23:15:00,232,32,55,Low,Foggy,4,Urban Road,41.994058,-78.519161
2024-01-01 23:20:00,120,77,148,Low,Snowy,1,Highway,43.003203,-77.240817
2024-01-01 23:25:00,603,54,73,Moderate,Clear,2,Highway,45.73426,-74.36056
2024-01-01 23:30:00,999,68,134,High,Clear,0,Highway,44.726108,-79.490342
2024-01-01 23:35:00,842,45,132,Low,Snowy,2,Highway,46.429578,-75.697489
2024-01-01 23:40:00,356,19,88,High,Snowy,4,Urban Road,46.656815,-71.332884
2024-01-01 23:45:00,928,43,67,Low,Rainy,1,Urban Road,43.330204,-73.471533
2024-01-01 23:50:00,880,97,57,Moderate,Snowy,5,Highway,46.031712,-74.939755
2024-01-01 23:55:00,297,97,127,High,Foggy,4,Residential,42.705404,-70.119019
2024-01-02 00:00:00,761,65,26,Low,Snowy,0,Urban Road,40.995391,-71.902412
2024-01-02 00:05:00,104,95,48,High,Snowy,3,Residential,47.6672,-70.021961
2024-01-02 00:10:00,779,23,117,High,Foggy,5,Highway,48.506586,-72.600735
2024-01-02 00:15:00,640,63,43,Low,Clear,1,Highway,41.473754,-77.066468
2024-01-02 00:20:00,689,14,5,High,Snowy,4,Urban Road,44.352956,-76.620552
2024-01-02 00:25:00,771,80,18,Moderate,Snowy,4,Urban Road,43.711434,-75.382271
2024-01-02 00:30:00,457,91,139,Low,Clear,5,Residential,42.02409,-78.834889
2024-01-02 00:35:00,705,32,38,Moderate,Snowy,4,Highway,43.437397,-73.696504
2024-01-02 00:40:00,428,20,145,Low,Rainy,5,Urban Road,48.352471,-72.864149
2024-01-02 00:45:00,722,80,105,Low,Clear,2,Urban Road,40.948837,-75.607953
2024-01-02 00:50:00,479,18,89,Moderate,Rainy,1,Highway,43.930597,-79.14154
2024-01-02 00:55:00,167,70,120,Moderate,Foggy,4,Highway,44.414841,-77.905881
2024-01-02 01:00:00,387,24,15,Low,Rainy,4,Residential,43.550601,-73.034849
2024-01-02 01:05:00,159,77,59,High,Clear,1,Residential,42.078682,-74.479229
2024-01-02 01:10:00,783,11,64,Moderate,Clear,1,Highway,46.714844,-76.666453
2024-01-02 01:15:00,200,43,105,Moderate,Foggy,3,Urban Road,43.101755,-76.376337
2024-01-02 01:20:00,488,72,87,High,Clear,2,Urban Road,49.139489,-73.153154
2024-01-02 01:25:00,926,41,112,High,Clear,2,Highway,46.202724,-78.955865
2024-01-02 01:30:00,204,97,100,Moderate,Foggy,0,Urban Road,43.211123,-73.846136
2024-01-02 01:35:00,203,76,150,High,Clear,3,Residential,41.397937,-71.805449
2024-01-02 01:40:00,385,55,140,Moderate,Foggy,5,Highway,46.468987,-79.040823
